name,2024-06-13,2024-08-26,2024-09-27,2024-10-21
reka core,25.0,15.0,2.0,2.0
reka edge,1.0,1.0,0.1,0.1
reka flash,2.0,2.0,0.8,0.8
reka spark,,,0.013250000000000001,0.013250000000000001
