name,2024-06-13,2024-08-26,2024-09-27,2024-10-21
reka core,10.0,3.0,0.506,0.506
reka edge,0.4,0.4,0.026500000000000003,0.026500000000000003
reka flash,0.8,0.8,0.053000000000000005,0.053000000000000005
reka spark,,,0.013250000000000001,0.013250000000000001
