name,2024-06-01,2024-07-03,2024-08-26,2024-09-27,2024-10-21
llama 3 70b,,1.1,1.1,1.1,1.1
mixtral 8x22b,,1.1,1.1,1.1,1.1
mixtral 8x7b,,0.55,0.55,0.55,0.55
mixtral-8x7b,0.585,,,,
