name,id_name,2024-08-26,2024-09-27,2024-10-21
flux,flux-unknown-unknown-1-unknown-unknown-false-unknown-false,,0.33,0.33
photomaker v2,photomaker-unknown-unknown-2-unknown-unknown-false-unknown-false,0.33,0.33,0.33
sdxl-lightning,stablediffusion-xl-lightning-1-unknown-unknown-false-unknown-false,0.33,0.33,0.33
