name,id_name,2024-10-31
FLUX.1 [dév] FP8 - 30 steps,flux-dev-fp8-1-unknown-30-false-unknown-false,1.5
FLUX.1 [dév] - 30 steps,flux-dev-unknown-1-unknown-30-false-unknown-false,3.0
FLUX.1 [schnell] FP8 - 30 steps,flux-schnell-fp8-1-unknown-30-false-unknown-false,1.05
FLUX.1 [schnell] - 30 steps,flux-schnell-unknown-1-unknown-30-false-unknown-false,2.1
Playground v2 1024 - 30 steps,playground-unknown-unknown-2-1024x1024-30-false-unknown-false,0.3899999999999999
Playground v2.5 1024 - 30 steps,playground-unknown-unknown-2.5-1024x1024-30-false-unknown-false,0.3899999999999999
Stable Diffusion 3.5 Large Turbo,stablediffusion-large-turbo-3.5-unknown-unknown-false-unknown-false,4.0
Stable Diffusion 3 Large,stablediffusion-large-unknown-3-unknown-unknown-false-unknown-false,6.5
Stable Diffusion 3.5 Large,stablediffusion-large-unknown-3.5-unknown-unknown-false-unknown-false,6.5
Stable Diffusion 3 Medium,stablediffusion-medium-unknown-3-unknown-unknown-false-unknown-false,3.5000000000000004
Diffusion stable 3.5 Medium,stablediffusion-medium-unknown-3.5-unknown-unknown-false-unknown-false,3.5000000000000004
Segmind Stable Diffusion 1B (SSD-1B) - 30 steps,stablediffusion-segmind-1b-1-1024x1024-30-false-unknown-false,0.3899999999999999
Stable Diffusion 3 Turbo,stablediffusion-unknown-turbo-3-unknown-unknown-false-unknown-false,4.0
Japonese Stable Diffusion XL - 30 steps,stablediffusion-xl-japonese-1-unknown-30-false-unknown-false,0.3899999999999999
Stable Diffusion XL - 30 steps,stablediffusion-xl-unknown-1-unknown-30-false-unknown-false,0.3899999999999999
