name,id_name,2024-07-03,2024-07-13,2024-08-26,2024-09-27,2024-10-21
baichuan-npc-lite,baichuan-npc-lite-unknown-unknown-unknown-unknown-unknown-false,1.485,1.485,1.485,1.485,1.485
baichuan-npc-turbo,baichuan-npc-turbo-unknown-unknown-unknown-unknown-unknown-false,2.25,2.25,2.25,2.25,2.25
baichuan2-turbo-192k,baichuan-unknown-turbo-2-unknown-unknown-192-unknown-false,2.4,2.4,1.7999999999999998,1.7999999999999998,1.7999999999999998
baichuan2-turbo,baichuan-unknown-turbo-2-unknown-unknown-unknown-unknown-false,1.2,1.2,1.2,1.2,1.2
baichuan3-turbo-128k,baichuan-unknown-turbo-3-unknown-unknown-128-unknown-false,3.6,3.6,3.6,3.6,3.6
baichuan3-turbo,baichuan-unknown-turbo-3-unknown-unknown-unknown-unknown-false,1.7999999999999998,1.7999999999999998,1.7999999999999998,1.7999999999999998,1.7999999999999998
baichuan2-53b,baichuan-unknown-unknown-2-unknown-53-unknown-unknown-false,2.25,2.25,2.25,2.25,2.25
baichuan4,baichuan-unknown-unknown-4-unknown-unknown-unknown-unknown-false,15.0,15.0,15.0,15.0,15.0
