name,id_name,2023-01-30,2024-01-14,2024-10-31
Midjourney Version 1,midjourney-unknown-unknown-1-unknown-unknown-false-unknown-false,0.033,0.033,0.033
Midjourney Version 2,midjourney-unknown-unknown-2-unknown-unknown-false-unknown-false,0.033,0.033,0.033
Midjourney Version 3,midjourney-unknown-unknown-3-unknown-unknown-false-unknown-false,0.033,0.033,0.033
Midjourney Version 4,midjourney-unknown-unknown-4-unknown-unknown-false-unknown-false,0.033,0.033,0.033
Midjourney Version 5,midjourney-unknown-unknown-5-unknown-unknown-false-unknown-false,,0.033,0.033
Midjourney Version 5.1,midjourney-unknown-unknown-5.1-unknown-unknown-false-unknown-false,,0.033,0.033
Midjourney Version 5.2,midjourney-unknown-unknown-5.2-unknown-unknown-false-unknown-false,,0.033,0.033
Midjourney Version 6,midjourney-unknown-unknown-6-unknown-unknown-false-unknown-false,,,0.033
Midjourney Version 6.1,midjourney-unknown-unknown-6.1-unknown-unknown-false-unknown-false,,,0.033
