id_name,1024x1024,1024x1792,1792x1792,2048x2048,256x256,512x512,768x768,unknown
amazontitan-unknown-unknown-1-unknown-false-unknown-false,0.01,,,,,,,
amazontitan-unknown-unknown-1-unknown-False,,,,,,0.008,,
amazontitan-unknown-unknown-1-unknown-True,,,,,,0.01,,
amazontitan-unknown-unknown-2-unknown-False,0.01,,,,,0.008,,
amazontitan-unknown-unknown-2-unknown-True,0.012,,,,,0.01,,
stablediffusion-large-unknown-3-unknown-false-unknown-false,,,,,,,,1.1425
stableimage-ultra-unknown-1-unknown-false-unknown-false,,,,,,,,2.09
stableimage-core-unknown-v1-unknown-false-unknown-false,,,,,,,,1.0233333333333332
flux-pro-unknown-1.1-unknown-False,,,,,,,,0.0466666666666666
flux-dev-unknown-1-unknown-False,,,,,,,,0.0275
flux-pro-ultra-1.1-unknown-False,,,,,,,,0.06
dalle-unknown-unknown-1-unknown-false-unknown-false,,,,,,,,0.02
stablediffusion-xl-unknown-v1-unknown-false-unknown-false,,,,,,,,0.022
dreamshaper-lcm-unknown-8-50-false-unknown-false,0.01,,,0.02,,0.005,,
stablediffusion-xl-base-1-50-false-unknown-false,0.015,,,0.02,,0.005,,
stablediffusion-xl-lightning-v1-50-false-unknown-false,0.01,,,0.02,,0.005,,
stablediffusion-xl-unknown-1-20-false-unknown-false,,,,,,,,0.00194
stablediffusion-xl-lightning-v1-4-false-unknown-false,,,,,,,,0.00042
stablediffusion-medium-unknown-3-unknown-false-unknown-false,,,,,,,,0.6076666666666667
flux-dev-fp8-1-30-false-unknown-false,,,,,,,,0.015
flux-schnell-fp8-1-30-false-unknown-false,,,,,,,,0.0105
flux-schnell-unknown-1-30-false-unknown-false,,,,,,,,0.021
flux-dev-unknown-1-30-false-unknown-false,0.02,,,,,,,0.03
stablediffusion-medium-unknown-3.5-unknown-false-unknown-false,,,,,,,,0.035
stablediffusion-large-turbo-3.5-unknown-false-unknown-false,,,,,,,,0.04
stablediffusion-xl-unknown-v1-30-false-unknown-false,,,,,,,,0.0039
playground-unknown-unknown-2-30-false-unknown-false,0.0039,,,,,,,
playground-unknown-unknown-2.5-30-false-unknown-false,0.0039,,,,,,,
stablediffusion-segmind-1b-1-30-false-unknown-false,0.0039,,,,,,,
stablediffusion-japonese-xl-1-30-false-unknown-false,,,,,,,,0.0039
stablediffusion-unknown-turbo-3-unknown-false-unknown-false,,,,,,,,0.04
imagen-unknown-unknown-1-unknown-false-unknown-false,,,,,,,,0.02
