name
ai21 jurrasic 2 grande
ai21 jurrasic 2 grande instruct
ai21 jurrasic 2 jumbo
ai21 jurrasic 2 jumbo instruct
ai21 jurrasic 2 large
ai21 text summarize
anthropic claude instant
anthropic claude v1
anthropic claude v2
assistants
assistants api
assistants api (code interpreter)
assistants api (retrieval)
assistants api code interpreter
claude haiku
claude instant 1.2
claude opus
code interpreter
cohere generate command
cohere multilingual text to embeddings
cohere summarize
cohere text to embeddings
contextual answers
contextual answers api contextual answers
contextual answers api library
contextual answers api semantic search
custom classification model image
custom detection model
custom segmentation model
dall e
databricks instruct
deepgram aura
detection embeddings
dolly v2 12b
falcon 40b instruct
gcp code generation
gcp embeddings gecko
gcp palm 2 text bison
general embeddings
grammatical error corrections
llama2 70b chat
luminous base
luminous enhanced
luminous extended
luminous supreme
magma base
magma enhanced
magma extended
magma supreme
openai 3.5 turbo instruct
openai gpt 3_5 turbo
openai gpt 4
openai text embedding ada
paraphrase
pre trained classification model
pre trained detection model
pre trained landmark model
pre trained named entity recognition model
pre trained segmentation model
pre trained translation model
reconnaissance de l'orateur
redpajama incite chat 7b
semantic search
stabilityai stable difussion xl
starcoder
summarize
summarize by segment
suno ai
text improvements
text segmentation
wizardcoder python 34b
wordtune api grammatical error corrections
wordtune api paraphrase
wordtune api summarize
wordtune api summarize by segment
wordtune api text improvements
wordtune api text segmentation
