name
audio intelligence
aura stt
base
base model
core transcription
deepgram nova
deepgram nova 2
deepgram whisper cloud
distil whisper
enhanced
enhanced model
entity detection
gladia model
nova 1
nova 2
redaction
rev ai forced alignment
rev ai human transcription
rev ai language identification
rev ai language translation (premium)
rev ai language translation (standard)
rev ai machine transcription
rev ai reverb foreign language transcription
rev ai reverb transcription
rev ai reverb turbo transcription
rev ai sentiment analysis
rev ai summarization (premium)
rev ai summarization (standard)
rev ai topic extraction
speechmatics chapters
speechmatics sentiment analysis
speechmatics summaries
speechmatics topic extraction
speechmatics transcription enhanced
speechmatics transcription lite mode
speechmatics transcription standard
speechmatics translation
summarization
universal 1
universal nano
whisper
whisper 2
whisper 3
whisper base
whisper large
whisper large v3
whisper medium
whisper small
whisper tiny
whisper v3
whisper v3 large
whisper v3 large turbo
whisper v3 turbo
whisperx
