name
aiqr (50 steps)
amazon titan image generator 1024
analog diffusion
analog diffusion (100 steps 1024x1024)
analog diffusion (100 steps 512x512)
analog diffusion (25 steps 1024x1024)
analog diffusion (25 steps 512x512)
analog diffusion (50 steps 1024x1024)
analog diffusion (50 steps 512x512)
analog diffusion (75 steps 1024x1024)
analog diffusion (75 steps 512x512)
analog diffusion 1024
analog diffusion 512
black forest labs/flux dev
black forest labs/flux pro
black forest labs/flux schnell
cogview 3
cogview 3 plus
controlnet
controlnet (100 steps 1024x1024)
controlnet (100 steps 512x512)
controlnet (25 steps 1024x1024)
controlnet (25 steps 512x512)
controlnet (50 steps 1024x1024)
controlnet (50 steps 512x512)
controlnet (75 steps 1024x1024)
controlnet (75 steps 512x512)
core
dalle 2 1024
dalle 2 256
dalle 2 512
dalle 3 1024
dalle 3 1024 hd
dalle 3 1792
dalle 3 1792 hd
dall·e 2
dall·e 3
diffusion stable 3.5 medium
dreamshaper 8 lcm (50 steps 1024x1024)
dreamshaper 8 lcm (50 steps 2048x2048)
dreamshaper 8 lcm (50 steps 512x512)
flux
flux 1 schnell (50 steps 1024x1024)
flux 1 schnell (50 steps 2048x2048)
flux 1 schnell (50 steps 512x512)
flux 1.1 [pro] 1024
flux dev (1024x1024 50 steps)
flux dev (512x512 50 steps)
flux dev (768x768 50 steps)
flux realism lora (100 steps 1024x1024)
flux realism lora (100 steps 512x512)
flux realism lora (25 steps 1024x1024)
flux realism lora (25 steps 512x512)
flux realism lora (50 steps 1024x1024)
flux realism lora (50 steps 512x512)
flux realism lora (75 steps 1024x1024)
flux realism lora (75 steps 512x512)
flux realism lora 1024
flux.1 [dev] (100 steps 1024x1024)
flux.1 [dev] (100 steps 512x512)
flux.1 [dev] (25 steps 1024x1024)
flux.1 [dev] (25 steps 512x512)
flux.1 [dev] (30 steps 1024x1024)
flux.1 [dev] (50 steps 1024x1024)
flux.1 [dev] (50 steps 512x512)
flux.1 [dev] (75 steps 1024x1024)
flux.1 [dev] (75 steps 512x512)
flux.1 [dev] 1024
flux.1 [dev] 1024x1024
flux.1 [dev] with pretrained loras (30 steps 1024x1024)
flux.1 [dév] 30 steps
flux.1 [dév] fp8 30 steps
flux.1 [pro]
flux.1 [pro] (100 steps 1024x1024)
flux.1 [pro] (100 steps 512x512)
flux.1 [pro] (25 steps 1024x1024)
flux.1 [pro] (25 steps 512x512)
flux.1 [pro] (50 steps 1024x1024)
flux.1 [pro] (50 steps 512x512)
flux.1 [pro] (75 steps 1024x1024)
flux.1 [pro] (75 steps 512x512)
flux.1 [pro] 1024
flux.1 [pro] 1024x1024
flux.1 [schnell]
flux.1 [schnell] (100 steps 1024x1024)
flux.1 [schnell] (100 steps 512x512)
flux.1 [schnell] (25 steps 1024x1024)
flux.1 [schnell] (25 steps 512x512)
flux.1 [schnell] (4 steps 1024x1024)
flux.1 [schnell] (50 steps 1024x1024)
flux.1 [schnell] (50 steps 512x512)
flux.1 [schnell] (75 steps 1024x1024)
flux.1 [schnell] (75 steps 512x512)
flux.1 [schnell] 1024
flux.1 [schnell] 1024x1024
flux.1 [schnell] 30 steps
flux.1 [schnell] fp8 30 steps
flux.1 [schnell] free
flux.1 [schnell] with pretrained loras (4 steps 1024x1024)
flux1.1 [pro]
ideogram version 0.2 default
ideogram version 1.0 default
ideogram version 1.0 turbo
ideogram version 2.0 default
ideogram version 2.0 quality
ideogram version 2.0 turbo
