name,id_name,2024-06-01,2024-05-22,2024-04-19,2024-03-10,2024-07-03,2024-08-26,2024-09-27,2024-10-21
imagen,imagen-unknown-unknown-1-unknown-unknown-false-unknown-false,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
imagen 3,imagen-unknown-unknown-3-unknown-unknown-false-unknown-false,,,,,,0.04,0.04,0.04
imagen 3 fast,imagen-fast-unknown-3-unknown-unknown-false-unknown-false,,,,,,0.02,0.02,0.02
imagen 2,imagen-unknown-unknown-2-unknown-unknown-false-unknown-false,,,,,,0.02,0.02,0.02
