name,id_name,2024-06-10,2024-07-03,2024-08-26,2024-09-27,2024-10-21
meta: llama 3 70b instruct,llama-unknown-unknown-3-unknown-70-unknown-unknown-instruct-false,,,,,
meta: llama 3 70b instruct (nitro),llama-unknown-unknown-3-unknown-70-unknown-unknown-instruct-false,,,,,
meta: llama 3 8b (base),llama-unknown-unknown-3-unknown-8-unknown-unknown-false,,,,,
meta: llama 3 8b instruct,llama-unknown-unknown-3-unknown-8-unknown-instruct-false,,,,,
meta: llama 3 8b instruct (extended),llama-unknown-extended-3-unknown-8-unknown-instruct-false,,,,,
meta: llama 3 8b instruct (free),llama-unknown-unknown-3-unknown-8-unknown-instruct-false,,,,,
meta: llama 3 8b instruct (nitro),llama-unknown-nitro-3-unknown-8-unknown-instruct-false,,,,,
meta: llama 3.1 405b (base),llama-unknown-unknown-3.1-unknown-405-unknown-unknown-false,,,,,
meta: llama 3.1 405b instruct,llama-unknown-unknown-3.1-unknown-405-unknown-instruct-false,,,,,
meta: llama 3.2 11b vision instruct,llama-vision-instruct-unknown-3.2-unknown-11-unknown-unknown-false,,,,,
meta: llama 3.2 11b vision instruct (free),llama-vision-instruct-free-unknown-3.2-unknown-11-unknown-unknown-false,,,,,
meta: llama 3.2 1b instruct,llama-unknown-unknown-3.2-unknown-1-unknown-instruct-false,,,,,
meta: llama 3.2 1b instruct (free),llama-unknown-unknown-3.2-unknown-1-unknown-instruct-false,,,,,
meta: llama 3.2 3b instruct,llama-unknown-unknown-3.2-unknown-3-unknown-instruct-false,,,,,
meta: llama 3.2 3b instruct (free),llama-unknown-unknown-3.2-unknown-3-unknown-instruct-false,,,,,
meta: llama 3.2 90b vision instruct,llama-vision-instruct-unknown-3.2-unknown-90-unknown-unknown-false,,,,,
meta: llamaguard 2 8b,llamaguard-unknown-unknown-2-unknown-8-unknown-unknown-false,,,,,
ministral 3b,ministral-unknown-unknown-unknown-unknown-3-unknown-unknown-false,,,,,
ministral 8b,ministral-unknown-unknown-unknown-8-unknown-unknown-false,,,,,
mistral 7b instruct,mistral-unknown-unknown-unknown-unknown-7-unknown-instruct-false,,,,,
mistral 7b instruct v0.3,mistral-instruct-unknown-0.3-unknown-7-unknown-unknown-false,,,,,
mistral large,mistral-large-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,
mistral medium,mistral-medium-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,
mistral nemo 12b celeste,mistral-nemo-celeste-unknown-unknown-12-unknown-unknown-false,,,,,
mistral nemo 12b starcannon,mistral-nemo-starcannon-unknown-unknown-12-unknown-unknown-false,,,,,
mistral small,mistral-small-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,
mistral tiny,mistral-tiny-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,
mistral: codestral mamba,mistral-codestral-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,
mistral: mistral 7b instruct v0.1,mistral-unknown-unknown-0.1-unknown-7-unknown-instruct-false,,,,,
mistral: mistral 7b instruct v0.2,mistral-unknown-unknown-0.2-unknown-7-unknown-instruct-false,,,,,
mistral: mistral nemo,mistral-nemo-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,
mistral: mixtral 8x22b instruct,mixtral-unknown-unknown-unknown-unknown-8x22-unknown-instruct-false,,,,,
mistral: pixtral 12b,pixtral-unknown-unknown-unknown-12-unknown-unknown-false,,,,,
mistral: pixtral 12b,pixtral-unknown-unknown-unknown-unknown-12-unknown-unknown-false,,,,,
mixtral 8x7b (base),mixtral-unknown-unknown-unknown-unknown-8x7-unknown-unknown-false,,,,,
mixtral 8x7b instruct,mixtral-unknown-unknown-unknown-unknown-8x7-unknown-unknown-instruct-false,,,,,
mixtral 8x7b instruct (nitro),mixtral-unknown-unknown-unknown-unknown-8x7-unknown-unknown-instruct-false,,,,,
mythomist 7b,mythomist-unknown-unknown-unknown-unknown-7-unknown-unknown-false,,,,,
mythomist 7b (free),mythomist-unknown-unknown-unknown-unknown-7-unknown-unknown-false,,,,,
noromaid 20b,noromaid-unknown-unknown-unknown-unknown-20-unknown-unknown-false,,,,,
nous: hermes 13b,hermes-unknown-unknown-unknown-unknown-13-unknown-unknown-false,,,,,
nous: hermes 2 mixtral 8x7b dpo,hermes-mixtral-dpo-2-unknown-8x7-unknown-unknown-false,,,,,
nous: hermes 2 theta 8b,hermes-theta-unknown-2-unknown-8-unknown-unknown-false,,,,,
nous: hermes 3 405b instruct,hermes-unknown-unknown-3-unknown-405-unknown-instruct-false,,,,,
nous: hermes 3 405b instruct (extended),hermes-unknown-extended-3-unknown-405-unknown-instruct-false,,,,,
nous: hermes 3 405b instruct (free),hermes-unknown-unknown-3-unknown-405-unknown-instruct-false,,,,,
nous: hermes 3 70b instruct,hermes-unknown-unknown-3-unknown-70-unknown-instruct-false,,,,,
nousresearch: hermes 2 pro - llama-3 8b,hermes-llama-pro-2-unknown-8-unknown-unknown-false,,,,,
nvidia nemotron-4 340b instruct,nemotron-unknown-unknown-4-unknown-340-unknown-instruct-false,,,,,
nvidia: llama 3.1 nemotron 70b instruct,llama-nemotron-unknown-3.1-unknown-70-unknown-unknown-instruct-false,,,,,
olmo 7b instruct,olmo-unknown-unknown-unknown-unknown-7-unknown-instruct-false,,,,,
openai: chatgpt-4o,chatgpt-4o-unknown-unknown-unknown-unknown-unknown-false,,,,,
openai: gpt-3.5 turbo (older v0613),gpt-turbo-unknown-3.5-0613-unknown-unknown-unknown-false,,,,,
