name,2024-05-29,2024-10-31
llama-2 (13b),0.25,
llama-2 (70b),0.9,
llama-2 (7b),0.15,
llama-3.1 (70b),,0.9
llama-3.1 (8b),,0.15
mistral (7b),0.2,
