name,id_name,2024-08-05,2024-09-18,2024-10-31
FLUX.1 [dev],flux-dev-unknown-1-unknown-unknown-False,,0.03,0.025
FLUX 1.1 [pro] Ultra,flux-pro-ultra-1.1-unknown-unknown-False,,,0.06
FLUX.1 [pro],flux-pro-unknown-1-unknown-unknown-false-unknown-false,,,0.05
FLUX 1.1 [pro],flux-pro-unknown-1.1-unknown-unknown-False,0.05,0.05,0.04
