name,id_name,2022-11-17,2023-02-27,2023-03-23,2023-05-24,2023-06-24,2023-07-24,2023-08-23,2023-09-24,2023-10-24,2023-11-23,2023-12-22,2024-01-23,2024-02-24,2024-03-23,2024-04-24,2024-05-01,2024-07-03,2024-08-26,2024-09-16,2024-09-27,2024-10-21
dalle 2 1024,dalle-unknown-unknown-2-1024x1024-unknown-false-unknown-false,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
dalle 2 256,dalle-unknown-unknown-2-256x256-unknown-false-unknown-false,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
dalle 2 512,dalle-unknown-unknown-2-512x512-unknown-false-unknown-false,1.7999999999999998,1.7999999999999998,1.7999999999999998,1.7999999999999998,1.7999999999999998,1.7999999999999998,1.7999999999999998,1.7999999999999998,1.7999999999999998,1.7999999999999998,1.7999999999999998,1.7999999999999998,1.7999999999999998,1.7999999999999998,1.7999999999999998,1.7999999999999998,1.7999999999999998,1.7999999999999998,1.7999999999999998,1.7999999999999998,1.7999999999999998
dalle 3 1024,dalle-unknown-unknown-3-1024x1024-unknown-false-unknown-false,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
dalle 3 1024 hd,dalle-unknown-unknown-3-1024x1024-unknown-true-unknown-false,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
dalle 3 1792,dalle-unknown-unknown-3-1792x1792-unknown-false-unknown-false,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
dalle 3 1792 hd,dalle-unknown-unknown-3-1792x1792-unknown-true-unknown-false,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
