name,2024-10-31
deepseek v2.5 (bf16),2.0
hermes 3 70b (bf16),0.4
llama 3 70b (bf16),0.4
llama 3.1 405b (bf16),4.0
llama 3.1 405b base (bf16),4.0
llama 3.1 405b base (fp8),2.0
llama 3.1 70b (bf16),0.4
llama 3.1 8b (bf16),0.1
llama 3.2 3b (bf16),0.1
llama 3.2 90b vision base (bf16),2.0
llama-3.2-90b-vision-instruct (bf16),0.4
pixtral 12b (bf16),0.1
qwen 2.5 72b (bf16),0.4
qwen2-vl-72b-instruct (bf16),0.4
qwen2-vl-7b-instruct (bf16),0.1
