name,id_name,2023-07-14,2023-07-18,2023-08-12,2023-11-29,2023-12-24,2024-01-17,2024-03-04,2024-03-23,2024-05-10,2024-05-28,2024-06-20,2024-10-21
"Realistic Vision 3.0 (25 steps, 512x512)",realisticvision-unknown-unknown-3-512x512-25-false-unknown-false,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Realistic Vision 3.0 (50 steps, 512x512)",realisticvision-unknown-unknown-3-512x512-50-false-unknown-false,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"Realistic Vision 3.0 (75 steps, 512x512)",realisticvision-unknown-unknown-3-512x512-75-false-unknown-false,,,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
Realistic Vision 3.0,realisticvision-unknown-unknown-3-unknown-unknown-false-unknown-false,,,,,,,,,,,,
"Stable Diffusion 1.5 (100 steps, 1024x1024)",stablediffusion-unknown-unknown-1.5-1024x1024-100-false-unknown-false,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"Stable Diffusion 1.5 (25 steps, 1024x1024)",stablediffusion-unknown-unknown-1.5-1024x1024-25-false-unknown-false,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Stable Diffusion 1.5 (50 steps, 1024x1024)",stablediffusion-unknown-unknown-1.5-1024x1024-50-false-unknown-false,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"Stable Diffusion 1.5 (75 steps, 1024x1024)",stablediffusion-unknown-unknown-1.5-1024x1024-75-false-unknown-false,,,3.5000000000000004,3.5000000000000004,3.5000000000000004,3.5000000000000004,3.5000000000000004,3.5000000000000004,3.5000000000000004,3.5000000000000004,3.5000000000000004,3.5000000000000004
"Stable Diffusion 1.5 (100 steps, 512x512)",stablediffusion-unknown-unknown-1.5-512x512-100-false-unknown-false,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"Stable Diffusion 1.5 (25 steps, 512x512)",stablediffusion-unknown-unknown-1.5-512x512-25-false-unknown-false,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Stable Diffusion 1.5 (50 steps, 512x512)",stablediffusion-unknown-unknown-1.5-512x512-50-false-unknown-false,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"Stable Diffusion 1.5 (75 steps, 512x512)",stablediffusion-unknown-unknown-1.5-512x512-75-false-unknown-false,,,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
Stable Diffusion 1.5,stablediffusion-unknown-unknown-1.5-unknown-unknown-false-unknown-false,,,,,,,,,,,,
"Stable Diffusion 2.1 (100 steps, 1024x1024)",stablediffusion-unknown-unknown-2.1-1024x1024-100-false-unknown-false,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"Stable Diffusion 2.1 (25 steps, 1024x1024)",stablediffusion-unknown-unknown-2.1-1024x1024-25-false-unknown-false,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Stable Diffusion 2.1 (50 steps, 1024x1024)",stablediffusion-unknown-unknown-2.1-1024x1024-50-false-unknown-false,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"Stable Diffusion 2.1 (75 steps, 1024x1024)",stablediffusion-unknown-unknown-2.1-1024x1024-75-false-unknown-false,,,3.5000000000000004,3.5000000000000004,3.5000000000000004,3.5000000000000004,3.5000000000000004,3.5000000000000004,3.5000000000000004,3.5000000000000004,3.5000000000000004,3.5000000000000004
"Stable Diffusion 2.1 (100 steps, 512x512)",stablediffusion-unknown-unknown-2.1-512x512-100-false-unknown-false,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"Stable Diffusion 2.1 (25 steps, 512x512)",stablediffusion-unknown-unknown-2.1-512x512-25-false-unknown-false,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Stable Diffusion 2.1 (50 steps, 512x512)",stablediffusion-unknown-unknown-2.1-512x512-50-false-unknown-false,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"Stable Diffusion 2.1 (75 steps, 512x512)",stablediffusion-unknown-unknown-2.1-512x512-75-false-unknown-false,,,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
Stable Diffusion 2.1,stablediffusion-unknown-unknown-2.1-unknown-unknown-false-unknown-false,,,,,,,,,,,,
"Stable Diffusion XL 1.0 (100 steps, 1024x1024)",stablediffusion-xl-unknown-1-1024x1024-100-false-unknown-false,,,,,,,,,,,,5.0
"Stable Diffusion XL 1.0 (25 steps, 1024x1024)",stablediffusion-xl-unknown-1-1024x1024-25-false-unknown-false,,,,,,,,,,,,1.0
"Stable Diffusion XL 1.0 (50 steps, 1024x1024)",stablediffusion-xl-unknown-1-1024x1024-50-false-unknown-false,,,,,,,,,,,,2.0
"Stable Diffusion XL 1.0 (75 steps, 1024x1024)",stablediffusion-xl-unknown-1-1024x1024-75-false-unknown-false,,,,,,,,,,,,3.5000000000000004
"Stable Diffusion XL 1.0 (100 steps, 512x512)",stablediffusion-xl-unknown-1-512x512-100-false-unknown-false,,,,,,,,,,,,0.5
"Stable Diffusion XL 1.0 (25 steps, 512x512)",stablediffusion-xl-unknown-1-512x512-25-false-unknown-false,,,,,,,,,,,,0.1
"Stable Diffusion XL 1.0 (50 steps, 512x512)",stablediffusion-xl-unknown-1-512x512-50-false-unknown-false,,,,,,,,,,,,0.2
"Stable Diffusion XL 1.0 (75 steps, 512x512)",stablediffusion-xl-unknown-1-512x512-75-false-unknown-false,,,,,,,,,,,,0.35
