name,id_name,2023-06-26,2024-07-03,2024-08-26,2024-10-21
cogview-3,cogview-unknown-unknown-3-unknown-unknown-false-unknown-false,24.0,1.5,1.5,
CogView-3-Plus,cogview-plus-unknown-3-unknown-unknown-false-unknown-false,,,,0.8999999999999999
CogView-3,cogview-unknown-unknown-3-unknown-unknown-false-unknown-false,,,,1.5
