name,id_name,2024-09-27,2024-10-21
solar docvision,solar-docvision-unknown-unknown-unknown-unknown-unknown-unknown-false,,
solar mini,solar-mini-unknown-unknown-unknown-unknown-unknown-unknown-false,,
solar pro,solar-pro-unknown-unknown-unknown-unknown-unknown-unknown-false,,
