name,id_name,2024-07-05,2024-09-30
dall·e 2 1024,dalle-unknown-unknown-2-1024x1024-unknown-False,0.02,0.02
dall·e 2 256,dalle-unknown-unknown-2-256x256-unknown-False,0.016,0.016
dall·e 2 512,dalle-unknown-unknown-2-512x512-unknown-False,0.018,0.018
dall·e 3 1024,dalle-unknown-unknown-3-1024x1024-unknown-False,0.04,0.04
dall·e 3 1024 hd,dalle-unknown-unknown-3-1024x1024-unknown-True,0.08,0.08
dall·e 3 1792,dalle-unknown-unknown-3-1792x1792-unknown-False,0.08,0.08
dall·e 3 1792 hd,dalle-unknown-unknown-3-1792x1792-unknown-True,0.12,0.12
