name,2024-10-04,2024-10-31
Llama 3.1 405B,5.0,5.0
Llama 3.1 70B,0.6,0.6
Llama 3.1 8B,0.1,0.1
Llama 3.2 11B Vision,,0.15
Llama 3.2 1B,0.04,0.04
Llama 3.2 3B,0.08,0.08
Llama 3.2 90B Vision,,0.8
