name,2024-10-04,2024-10-31
llama 3.1 405b,10.0,10.0
llama 3.1 70b,1.2,1.2
llama 3.1 8b,0.2,0.2
llama 3.2 11b vision,,0.3
llama 3.2 1b,0.08,0.08
llama 3.2 3b,0.16,0.16
llama 3.2 90b vision,,1.6
