name,id_name,2024-10-31
Ideogram Version 0.2 Default,ideogram-unknown-default-0.2-unknown-unknown-false-unknown-false,2.5
Ideogram Version 1.0 Default,ideogram-unknown-default-1-unknown-unknown-false-unknown-false,2.5
Ideogram Version 2.0 Default,ideogram-unknown-default-2-unknown-unknown-false-unknown-false,5.0
Ideogram Version 2.0 Quality,ideogram-unknown-quality-2-unknown-unknown-false-unknown-false,7.5
Ideogram Version 1.0 Turbo,ideogram-unknown-turbo-1-unknown-unknown-false-unknown-false,2.5
Ideogram Version 2.0 Turbo,ideogram-unknown-turbo-2-unknown-unknown-false-unknown-false,2.5
