name,2024-05-28,2024-07-03,2024-08-26,2024-09-27,2024-10-21
deepseek-chat,0.28,0.28,0.28,,
deepseek-coder,0.28,0.28,0.28,,
deepseek-v2.5,,,,0.28,0.28
